<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.12.22	19:00:00	1.20306	1.20321	1.20146	1.20210	2699	0	3
2022.12.22	20:00:00	1.20210	1.20281	1.20007	1.20113	2839	0	4
2022.12.22	21:00:00	1.20114	1.20326	1.20085	1.20303	3978	0	4
2022.12.22	22:00:00	1.20295	1.20473	1.20295	1.20413	4359	0	4
2022.12.22	23:00:00	1.20411	1.20440	1.20346	1.20378	1549	0	6
2022.12.23	00:00:00	1.20365	1.20401	1.20018	1.20341	323	0	17
2022.12.23	01:00:00	1.20341	1.20458	1.20319	1.20369	3904	0	9
2022.12.23	02:00:00	1.20371	1.20436	1.20183	1.20201	2084	0	8
2022.12.23	03:00:00	1.20202	1.20461	1.20185	1.20448	4284	0	8
2022.12.23	04:00:00	1.20449	1.20524	1.20388	1.20406	3090	0	6
2022.12.23	05:00:00	1.20406	1.20514	1.20403	1.20497	1945	0	6
2022.12.23	06:00:00	1.20497	1.20578	1.20415	1.20435	1580	0	8
2022.12.23	07:00:00	1.20434	1.20440	1.20349	1.20355	2222	0	5
2022.12.23	08:00:00	1.20356	1.20433	1.20289	1.20391	2605	0	1
2022.12.23	09:00:00	1.20384	1.20713	1.20342	1.20644	3568	0	1
2022.12.23	10:00:00	1.20643	1.20716	1.20500	1.20533	5093	0	1
2022.12.23	11:00:00	1.20536	1.20747	1.20422	1.20661	4437	0	1
2022.12.23	12:00:00	1.20661	1.20776	1.20493	1.20763	3756	0	1
2022.12.23	13:00:00	1.20764	1.20902	1.20615	1.20694	3402	0	1
2022.12.23	14:00:00	1.20693	1.20786	1.20563	1.20686	3351	0	1
2022.12.23	15:00:00	1.20686	1.20773	1.20229	1.20440	10089	0	1
2022.12.23	16:00:00	1.20440	1.20543	1.20284	1.20387	8484	0	1
2022.12.23	17:00:00	1.20417	1.20862	1.20354	1.20603	9459	0	1
2022.12.23	18:00:00	1.20603	1.20695	1.20497	1.20536	5700	0	1
2022.12.23	19:00:00	1.20535	1.20698	1.20499	1.20529	3555	0	1
2022.12.23	20:00:00	1.20529	1.20546	1.20278	1.20326	2278	0	5
2022.12.23	21:00:00	1.20313	1.20411	1.20273	1.20390	4467	0	21
2022.12.23	22:00:00	1.20390	1.20491	1.20336	1.20453	3584	0	20
2022.12.23	23:00:00	1.20450	1.20514	1.20439	1.20478	2249	0	24
2022.12.26	09:00:00	1.20540	1.20580	1.20530	1.20531	1137	0	137
